2021.6.22 19:04:51:82   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.05, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.08, -0.02, 0.00)  rightControllerVel:(-0.19, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:95   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.06, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.09, -0.01, 0.00)  rightControllerVel:(-0.20, 0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:111   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.06, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.11, -0.01, -0.01)  rightControllerVel:(-0.20, 0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:126   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.06, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.12, 0.00, -0.01)  rightControllerVel:(-0.19, 0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:143   leftController:(-0.36, 1.21, 0.41)  rightController:(-0.06, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.13, 0.01, -0.01)  rightControllerVel:(-0.17, 0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:156   leftController:(-0.36, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.15, 0.02, -0.01)  rightControllerVel:(-0.14, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:172   leftController:(-0.36, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.16, 0.03, -0.01)  rightControllerVel:(-0.11, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:191   leftController:(-0.36, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.17, 0.04, -0.01)  rightControllerVel:(-0.06, 0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:202   leftController:(-0.35, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.17, 0.05, -0.01)  rightControllerVel:(-0.05, 0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:222   leftController:(-0.35, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.17, 0.06, -0.02)  rightControllerVel:(-0.01, 0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
