2021.10.23 14:53:43:622   leftController:(0.10, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.03, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, -0.01, -0.01)
2021.10.23 14:53:43:633   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.04, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, -0.01, -0.01)
2021.10.23 14:53:43:644   leftController:(0.10, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.05, 0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, -0.01, -0.01)
2021.10.23 14:53:43:656   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.06, 0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, -0.01, -0.01)
2021.10.23 14:53:43:667   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.07, 0.02, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, -0.01, -0.01)
2021.10.23 14:53:43:678   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.07, 0.03, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, -0.01, 0.00)
2021.10.23 14:53:43:691   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.08, 0.04, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.10.23 14:53:43:702   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.08, 0.04, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.10.23 14:53:43:711   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.08, 0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.10.23 14:53:43:722   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.08, 0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.10.23 14:53:43:733   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.09, 0.06, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.10.23 14:53:43:745   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.10, 0.06, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.10.23 14:53:43:756   leftController:(0.09, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.11, 0.06, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.10.23 14:53:43:767   leftController:(0.08, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.12, 0.06, 0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
