2021.6.22 19:07:17:110   leftController:(-0.36, 1.27, 0.34)  rightController:(0.06, 1.21, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.67, 0.03)  leftControllerVel:(-0.09, -0.05, -0.02)  rightControllerVel:(-0.06, -0.18, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:131   leftController:(-0.36, 1.27, 0.34)  rightController:(0.06, 1.20, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.67, 0.03)  leftControllerVel:(-0.09, -0.04, -0.02)  rightControllerVel:(-0.06, -0.21, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:152   leftController:(-0.36, 1.27, 0.34)  rightController:(0.06, 1.20, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.67, 0.04)  leftControllerVel:(-0.09, -0.05, -0.02)  rightControllerVel:(-0.06, -0.24, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:175   leftController:(-0.37, 1.27, 0.34)  rightController:(0.06, 1.19, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.67, 0.04)  leftControllerVel:(-0.10, -0.06, -0.01)  rightControllerVel:(-0.05, -0.28, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:197   leftController:(-0.37, 1.26, 0.34)  rightController:(0.05, 1.19, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.67, 0.04)  leftControllerVel:(-0.12, -0.08, 0.00)  rightControllerVel:(-0.05, -0.30, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:221   leftController:(-0.37, 1.26, 0.34)  rightController:(0.05, 1.18, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.67, 0.04)  leftControllerVel:(-0.14, -0.11, 0.01)  rightControllerVel:(-0.09, -0.30, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:243   leftController:(-0.38, 1.26, 0.34)  rightController:(0.05, 1.17, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.67, 0.04)  leftControllerVel:(-0.15, -0.14, 0.03)  rightControllerVel:(-0.15, -0.28, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:264   leftController:(-0.38, 1.25, 0.34)  rightController:(0.05, 1.17, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.67, 0.04)  leftControllerVel:(-0.17, -0.19, 0.05)  rightControllerVel:(-0.19, -0.27, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:287   leftController:(-0.38, 1.25, 0.34)  rightController:(0.04, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.67, 0.04)  leftControllerVel:(-0.16, -0.23, 0.07)  rightControllerVel:(-0.26, -0.25, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:309   leftController:(-0.39, 1.24, 0.34)  rightController:(0.03, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.67, 0.04)  leftControllerVel:(-0.14, -0.30, 0.10)  rightControllerVel:(-0.36, -0.23, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
