2021.6.22 19:07:49:248   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.33, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.01, -0.05, 0.04)  rightControllerVel:(0.04, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:280   leftController:(-0.45, 1.28, 0.26)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.03, -0.05, 0.05)  rightControllerVel:(0.07, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:314   leftController:(-0.45, 1.28, 0.26)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.05, -0.06, 0.06)  rightControllerVel:(0.09, -0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:349   leftController:(-0.44, 1.28, 0.26)  rightController:(-0.13, 1.32, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.08, -0.06, 0.07)  rightControllerVel:(0.10, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:378   leftController:(-0.44, 1.28, 0.26)  rightController:(-0.13, 1.32, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.10, -0.08, 0.09)  rightControllerVel:(0.13, -0.11, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:412   leftController:(-0.44, 1.27, 0.27)  rightController:(-0.12, 1.31, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.13, -0.14, 0.12)  rightControllerVel:(0.14, -0.16, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:447   leftController:(-0.43, 1.27, 0.27)  rightController:(-0.12, 1.31, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.14, -0.21, 0.14)  rightControllerVel:(0.15, -0.21, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:480   leftController:(-0.43, 1.26, 0.28)  rightController:(-0.11, 1.30, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(0.13, -0.27, 0.13)  rightControllerVel:(0.14, -0.25, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:516   leftController:(-0.42, 1.25, 0.28)  rightController:(-0.11, 1.29, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.67, -0.06)  leftControllerVel:(0.15, -0.30, 0.12)  rightControllerVel:(0.13, -0.27, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:547   leftController:(-0.42, 1.24, 0.28)  rightController:(-0.11, 1.28, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.67, -0.05)  leftControllerVel:(0.18, -0.31, 0.10)  rightControllerVel:(0.11, -0.26, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:580   leftController:(-0.41, 1.23, 0.29)  rightController:(-0.10, 1.27, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.05)  leftControllerVel:(0.20, -0.31, 0.06)  rightControllerVel:(0.10, -0.24, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
