2022.4.14 17:01:51:836   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:848   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:859   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:870   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:881   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:892   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:903   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:913   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:926   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:936   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
