2021.5.16 20:03:22:501   leftController:(-0.10, 1.00, 0.11)  rightController:(0.11, 1.16, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.52, -0.09)  leftControllerVel:(0.26, 0.02, 0.13)  rightControllerVel:(0.20, -0.41, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:512   leftController:(-0.10, 1.00, 0.11)  rightController:(0.11, 1.16, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.52, -0.09)  leftControllerVel:(0.25, 0.01, 0.12)  rightControllerVel:(0.21, -0.45, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:524   leftController:(-0.10, 1.00, 0.11)  rightController:(0.11, 1.15, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.52, -0.09)  leftControllerVel:(0.25, 0.00, 0.11)  rightControllerVel:(0.21, -0.49, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:534   leftController:(-0.09, 1.00, 0.12)  rightController:(0.11, 1.15, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.52, -0.09)  leftControllerVel:(0.24, 0.00, 0.10)  rightControllerVel:(0.22, -0.53, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:550   leftController:(-0.09, 1.00, 0.12)  rightController:(0.12, 1.14, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.52, -0.08)  leftControllerVel:(0.24, 0.00, 0.10)  rightControllerVel:(0.22, -0.57, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:557   leftController:(-0.09, 1.00, 0.12)  rightController:(0.12, 1.14, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.52, -0.08)  leftControllerVel:(0.23, -0.01, 0.09)  rightControllerVel:(0.22, -0.58, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:567   leftController:(-0.09, 1.00, 0.12)  rightController:(0.12, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.52, -0.08)  leftControllerVel:(0.22, -0.02, 0.09)  rightControllerVel:(0.23, -0.61, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:578   leftController:(-0.08, 1.00, 0.12)  rightController:(0.13, 1.12, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.52, -0.08)  leftControllerVel:(0.22, -0.03, 0.09)  rightControllerVel:(0.24, -0.63, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:591   leftController:(-0.08, 1.00, 0.12)  rightController:(0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.52, -0.08)  leftControllerVel:(0.20, -0.05, 0.08)  rightControllerVel:(0.25, -0.64, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:601   leftController:(-0.08, 1.00, 0.12)  rightController:(0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.52, -0.08)  leftControllerVel:(0.19, -0.06, 0.08)  rightControllerVel:(0.25, -0.64, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:613   leftController:(-0.08, 0.99, 0.12)  rightController:(0.13, 1.10, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.52, -0.08)  leftControllerVel:(0.16, -0.08, 0.08)  rightControllerVel:(0.25, -0.63, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:625   leftController:(-0.08, 0.99, 0.12)  rightController:(0.14, 1.09, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.53, -0.08)  leftControllerVel:(0.15, -0.09, 0.08)  rightControllerVel:(0.26, -0.61, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:637   leftController:(-0.07, 0.99, 0.12)  rightController:(0.14, 1.09, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.53, -0.08)  leftControllerVel:(0.13, -0.10, 0.08)  rightControllerVel:(0.25, -0.58, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:646   leftController:(-0.07, 0.99, 0.12)  rightController:(0.14, 1.08, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.53, -0.08)  leftControllerVel:(0.11, -0.11, 0.08)  rightControllerVel:(0.24, -0.55, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:658   leftController:(-0.07, 0.99, 0.13)  rightController:(0.14, 1.07, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.53, -0.08)  leftControllerVel:(0.10, -0.12, 0.08)  rightControllerVel:(0.23, -0.52, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:669   leftController:(-0.07, 0.99, 0.13)  rightController:(0.15, 1.07, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.53, -0.07)  leftControllerVel:(0.08, -0.13, 0.08)  rightControllerVel:(0.22, -0.49, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:680   leftController:(-0.07, 0.99, 0.13)  rightController:(0.15, 1.06, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.06, -0.13, 0.07)  rightControllerVel:(0.21, -0.46, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:694   leftController:(-0.07, 0.99, 0.13)  rightController:(0.15, 1.06, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.03, -0.12, 0.07)  rightControllerVel:(0.20, -0.42, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:701   leftController:(-0.07, 0.98, 0.13)  rightController:(0.15, 1.06, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.03, -0.12, 0.07)  rightControllerVel:(0.19, -0.40, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
