2021.5.16 20:00:37:757   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.40, 1.23, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.21, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:768   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.40, 1.23, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.02, -0.24, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:779   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.40, 1.23, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.03, -0.27, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:791   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.40, 1.22, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.03, -0.30, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:801   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.40, 1.22, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(-0.03, -0.31, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:813   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.40, 1.22, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.01, 0.02, 0.01)  rightControllerVel:(-0.02, -0.34, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:824   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.21, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.02, 0.02, 0.01)  rightControllerVel:(-0.01, -0.37, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:835   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.21, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.03, 0.03, 0.01)  rightControllerVel:(0.00, -0.39, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:846   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.20, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.04, 0.04, 0.02)  rightControllerVel:(0.00, -0.40, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:857   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.20, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.60)  leftControllerVel:(0.04, 0.05, 0.03)  rightControllerVel:(0.00, -0.43, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:868   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.40, 1.19, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.05, 0.03)  rightControllerVel:(0.01, -0.43, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:880   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.40, 1.19, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.06, 0.04)  rightControllerVel:(0.02, -0.44, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:891   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.40, 1.18, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.03, 0.07, 0.05)  rightControllerVel:(0.05, -0.44, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:902   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.40, 1.18, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.03, 0.08, 0.05)  rightControllerVel:(0.07, -0.44, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:913   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.39, 1.17, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.03, 0.10, 0.06)  rightControllerVel:(0.11, -0.42, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:925   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.39, 1.17, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.03, 0.11, 0.07)  rightControllerVel:(0.12, -0.39, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:935   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.39, 1.17, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.03, 0.13, 0.08)  rightControllerVel:(0.11, -0.39, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
