2021.6.22 19:09:14:582   leftController:(-0.41, 1.28, 0.31)  rightController:(-0.10, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.03, -0.02, 0.01)  rightControllerVel:(-0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:605   leftController:(-0.41, 1.28, 0.31)  rightController:(-0.10, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(0.00, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:632   leftController:(-0.41, 1.28, 0.31)  rightController:(-0.10, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.03, -0.02, 0.01)  rightControllerVel:(-0.02, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:656   leftController:(-0.41, 1.28, 0.31)  rightController:(-0.10, 1.37, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.03, -0.02, 0.01)  rightControllerVel:(-0.04, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:671   leftController:(-0.41, 1.28, 0.31)  rightController:(-0.10, 1.37, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.03, -0.02, 0.01)  rightControllerVel:(-0.03, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:695   leftController:(-0.41, 1.27, 0.31)  rightController:(-0.10, 1.37, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.04, -0.03, 0.01)  rightControllerVel:(-0.02, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:717   leftController:(-0.41, 1.27, 0.31)  rightController:(-0.10, 1.37, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.04, -0.04, 0.01)  rightControllerVel:(-0.02, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:737   leftController:(-0.41, 1.27, 0.31)  rightController:(-0.10, 1.37, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.07)  leftControllerVel:(-0.05, -0.05, 0.01)  rightControllerVel:(-0.01, -0.10, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:764   leftController:(-0.41, 1.27, 0.31)  rightController:(-0.10, 1.36, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.07)  leftControllerVel:(-0.05, -0.07, 0.02)  rightControllerVel:(0.01, -0.14, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:779   leftController:(-0.41, 1.27, 0.32)  rightController:(-0.10, 1.36, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.07)  leftControllerVel:(-0.04, -0.09, 0.02)  rightControllerVel:(0.02, -0.16, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:800   leftController:(-0.41, 1.27, 0.32)  rightController:(-0.10, 1.36, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.07)  leftControllerVel:(-0.04, -0.13, 0.04)  rightControllerVel:(0.05, -0.22, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:813   leftController:(-0.41, 1.27, 0.32)  rightController:(-0.10, 1.35, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.04, -0.15, 0.04)  rightControllerVel:(0.06, -0.24, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:833   leftController:(-0.42, 1.26, 0.32)  rightController:(-0.10, 1.35, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.05, -0.18, 0.05)  rightControllerVel:(0.07, -0.27, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
