2022.4.8 18:03:42:225   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:236   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:248   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:259   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:270   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.02, 0.01)
2022.4.8 18:03:42:280   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.00)
2022.4.8 18:03:42:292   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.03, 0.00)
2022.4.8 18:03:42:305   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.04, 0.00)
2022.4.8 18:03:42:316   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.04, 0.00)
2022.4.8 18:03:42:325   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.04, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.04, 0.00)
2022.4.8 18:03:42:336   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.04, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.05, 0.00)
2022.4.8 18:03:42:347   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.05, 0.00)
2022.4.8 18:03:42:358   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.04, 0.00)
2022.4.8 18:03:42:370   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.04, -0.01)
2022.4.8 18:03:42:381   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.05, -0.01)
2022.4.8 18:03:42:392   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.05, -0.01)
2022.4.8 18:03:42:403   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.06, -0.01)
2022.4.8 18:03:42:414   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.06, -0.01)
2022.4.8 18:03:42:426   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.06, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.06, -0.01)
2022.4.8 18:03:42:437   leftController:(0.09, 1.29, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.06, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.06, -0.01)
2022.4.8 18:03:42:448   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.07, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.06, 0.00)
2022.4.8 18:03:42:459   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.09, 0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.06, 0.00)
2022.4.8 18:03:42:471   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.20, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.10, 0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.05, 0.00)
2022.4.8 18:03:42:481   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.11, 0.05)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.04, 0.00)
2022.4.8 18:03:42:492   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.12, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.04, 0.00)
2022.4.8 18:03:42:504   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.14, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.03, 0.00)
2022.4.8 18:03:42:515   leftController:(0.09, 1.28, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.15, 0.07)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.03, 0.00)
2022.4.8 18:03:42:526   leftController:(0.09, 1.27, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.00, -0.17, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.04, -0.01)
2022.4.8 18:03:42:537   leftController:(0.09, 1.27, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.01, -0.18, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.04, -0.01)
2022.4.8 18:03:42:548   leftController:(0.09, 1.27, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.02, -0.19, 0.05)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.04, -0.01)
2022.4.8 18:03:42:560   leftController:(0.09, 1.27, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.02, -0.20, 0.05)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.04, -0.01)
2022.4.8 18:03:42:571   leftController:(0.09, 1.27, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.03, -0.21, 0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.04, 0.00)
2022.4.8 18:03:42:582   leftController:(0.09, 1.26, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.03, -0.21, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.05, 0.03, 0.00)
